,Description,Cost
1,"silver cuff with 14k gold and diamond
charms",1500.0
3,"silver cuff with 14k gold and diamond
charms",1693.0
4,"silver cuff with 14k gold and diamond
charms Butterfly Lips",1479.0
5,"silver cuff with 14k gold and diamond
charms PARTY",1697.0
6,"silver cuff with 14k gold and diamond
charms PICASSO",1690.0
